Ngram	Surprisal
big screen	22.5404902019
screen in	23.9861562472
in his	12.1298916747
his room	17.5954407538
room and	19.0793748083
and he	11.9925890526
he is	14.3315395332
is now	13.8136152848
now looking	20.0911380436
looking at	18.0262965025
at what	16.5565269662
what is	15.5338183366
is going	14.7354569878
going on	17.2238923256
on he	18.3146227116
he is	14.3315395332
is basically	17.1478613064
basically watching	28.9639739509
watching over	24.6299232629
over his	17.2911150596
his workers	20.2048418738
workers .	20.1194264864
. And	9.91861258478
And the	16.4617704132
the factory	14.3317962444
factory workers	24.0770912024
workers can	23.0239427517
can see	15.9827747319
see an	19.4715563946
an image	17.773658767
image of	20.3486062506
of him	13.4580014681
him inside	21.0951994618
inside the	19.4993373582
the factory	14.3317962444
factory as	25.4403960453
as well	13.2566027656
well .	16.0715271529
. It	9.09873413507
It was	13.6780717035
was very	14.3825181864
very big	19.0605708756
big brother	22.3650415244
brother like	25.5950091322
like .	16.6875203918
. And	9.91861258478
And now	18.0526154926
now the	17.4764721671
the the	13.0829298908
the topless	18.8517715844
topless man	32.0585068092
man is	19.0796026486
is now	13.8136152848
now along	23.5936879195
along and	20.441626988
and is	12.6569978193
is now	13.8136152848
now saluting	25.182445088
saluting his	32.8133475587
his boss	18.9520789053
boss he	27.1033383751
he can	15.5470641566
can see	15.9827747319
see on	19.8042621485
on the	11.1465918865
the screen	13.9012402143
screen and	22.891617284
and he	11.9925890526
he is	14.3315395332
is now	13.8136152848
now pulling	24.1045135433
pulling some	28.0307526922
some more	17.6289568427
more levers	23.933628006
levers and	28.319180755
and playing	16.4152079257
playing with	21.0991969975
with the	11.7421194262
the same	10.4059490892
same machinery	24.7299897078
machinery he	29.0700660112
he was	12.913561202
was playing	16.7344353022
playing with	21.0991969975
with a	12.2364175963
a while	14.0206667425
while before	21.2802444802
before .	16.9935004128
. And	9.91861258478
And now	18.0526154926
now you	18.3125167118
you can	13.4628293656
can see	15.9827747319
see a	17.3016046251
a group	13.8159743655
group of	17.5999470063
of workers	15.3361757991
workers Now	27.3599708344
Now ,	18.2663881542
, they	10.7560775023
they all	16.4907912966
all um	24.3948984362
um busy	30.9262779097
busy working	24.4786013829
working basically	26.6167182972
basically and	26.2766044937
and on	13.1711122706
on the	11.1465918865
the production	13.5770640835
production line	22.0631671905
line just	24.0521351152
just um	25.1714863867
um there	30.2538114731
there is	13.8842217918
is a	11.7921622691
a couple	13.3994145691
couple of	18.4759355167
of men	14.1492448934
men you	22.3707821153
you can	13.4628293656
can see	15.9827747319
see hammering	25.2129270335
hammering some	31.0649385304
some indentations	24.9201622629
indentations into	33.1571190978
into um	24.8556992487
um a	29.3375207412
a piece	14.3453381103
piece of	19.0667772724
of what	12.5875030693
what looks	20.0693460896
looks like	20.0601543453
like metal	22.6849670105
metal .	22.7626316465
. And	9.91861258478
And ,	17.1981379541
, of	11.0705528987
of course	11.9256956891
course ,	16.4504312043
, there	10.9842303975
there is	13.8842217918
is a	11.7921622691
a little	12.4285581849
little man	20.1550711815
man with	18.6139922901
with a	12.2364175963
a moustache	18.0225054085
moustache and	26.2304540955
and curly	19.0610449423
curly hair	25.9361764466
hair who	24.1894498401
who is	15.7681261832
is also	13.650445892
also using	21.6903952297
using some	22.3085649487
