Ngram	Surprisal
to make	11.6274466427
make the	16.7262549805
the conveyor	18.004473724
conveyor belt	27.8250914198
belt stop	29.2848502812
stop .	20.4423063103
. And	9.91861258478
And the	16.4617704132
the boss	15.2964235229
boss comes	28.2019506638
comes over	22.5866931809
over and	17.1620396143
and yells	20.7192730189
yells at	30.4052111195
at him	15.0090930253
him and	16.2520627957
and yells	20.7192730189
yells at	30.4052111195
at his	14.979637214
his friend	17.1273201673
friend who	21.6809466934
who has	15.9392116667
has done	17.1449300858
done nothing	20.5412349891
nothing wrong	20.347749345
wrong .	19.1663993406
. And	9.91861258478
And the	16.4617704132
the person	12.9686813491
person who	18.9161368036
who has	15.9392116667
has done	17.1449300858
done who	26.3841854207
who was	15.2922045337
was slow	17.8330475908
slow yells	28.2012920402
yells at	30.4052111195
at him	15.0090930253
him and	16.2520627957
and then	11.83165485
then have	18.6919062122
have to	13.1484810531
to work	12.6952794229
work even	21.8877718046
even harder	20.6072023233
harder .	23.5959648813
. The	8.06494629967
The guy	18.8799015019
guy without	29.0918249201
without a	18.0380868256
a shirt	17.357137792
shirt is	26.0515064721
is called	15.460857026
called in	19.7219926182
in .	13.069048682
. And	9.91861258478
And the	16.4617704132
the president	14.3236624445
president tells	28.2919543167
tells him	23.9211632554
him to	15.5434464616
to ,	13.243903344
, to	10.6095350974
to increase	13.9076324386
increase speed	25.3289561582
speed .	21.3075406755
. So	10.6390140518
So he	18.8492061333
he does	15.4622527609
does that	18.8680730821
that So	21.866726967
So it	18.1450091165
it goes	15.9753466014
goes even	24.3752426472
even faster	21.2743740174
faster and	23.3791942869
and the	9.96015810702
the worker	15.7162773684
worker tries	28.6909162982
tries to	22.1918597839
to do	11.4332178274
do his	18.7206281288
his best	17.0507470237
best .	19.0771694912
. Then	11.3863555293
Then when	21.8702932501
when he	14.9960309555
he goes	16.6532770584
goes to	19.910612484
to break	14.1429522694
break or	24.0392777576
or something	15.809539712
something ,	18.4080668151
, he	10.2679170618
he ca	17.0871611293
ca not	25.8795976482
not really	16.1096278879
really relax	25.0422726031
relax .	24.0058325423
. He	9.28639640562
He continues	20.8595361771
continues to	21.1595169069
to do	11.4332178274
do the	15.9025724787
the moves	16.5163966686
moves he	28.6989033248
he has	14.5647021363
has done	17.1449300858
done all	20.784465299
all ,	15.0589763012
, all	11.9591158042
all day	16.9482081132
day .	16.7373135333
. And	9.91861258478
And he	16.9581541072
he use	19.947536637
use the	17.1817275067
the staple	17.0881829921
staple clock	31.090580961
clock or	25.8604852832
or that	16.462939725
that is	12.9211771339
is probably	15.2376126225
probably not	20.2410241492
not the	14.4831827628
the word	12.8503567064
word for	20.5933204413
for it	14.2342200885
it .	12.1004211914
. Going	14.7303944971
Going to	24.4717169674
to use	12.6766973868
use in	18.2792959539
in the	9.36353298464
the bathroom	14.291773117
bathroom .	23.0250822255
. He	9.28639640562
He is	16.1635184442
is sitting	17.9412353661
sitting on	20.6982074376
on the	11.1465918865
the basin	15.87709272
basin .	25.0670260598
. And	9.91861258478
And the	16.4617704132
the boss	15.2964235229
boss talks	28.8744171004
talks to	22.1675317424
to him	12.7117417423
him for	17.0766166602
for the	11.2297085141
the president	14.3236624445
president and	22.6022080433
and he	11.9925890526
he goes	16.6532770584
goes back	21.0041227207
back to	15.4704818393
to work	12.6952794229
work ,	16.4710543089
, he	10.2679170618
he is	14.3315395332
is from	16.2126766252
from he	21.2090135565
he is	14.3315395332
is lights	23.0325424105
lights a	25.619885182
a cigarette	15.7547670468
cigarette and	24.0694751583
and goes	16.1191153747
goes back	21.0041227207
back to	15.4704818393
to work	12.6952794229
work And	25.4506099991
And he	16.9581541072
he is	14.3315395332
is back	16.860860665
back at	17.5292260367
at the	11.9096336813
the conveyor	18.004473724
conveyor belt	27.8250914198
belt and	24.1697325881
and tries	17.269285473
tries to	22.1918597839
to but	16.632141581
but he	14.8617765479
he does	15.4622527609
does his	21.0033059834
his nails	20.4925239463
nails .	25.0506982314
. Oh	10.8703545205
Oh ,	16.6268536487
, the	8.87073852331
